rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2SaRkvUkzNzL39fBB2hLpt","SPINALL, Asake","PALAZZO","TheCAPMusic",1,1,5,"169079"
2,"spotify:track:2PDgArI0p7UkeYgXWuqpmh","Burna Boy","Last Last","Spaceship Entertainment Ltd.",1,2,5,"168995"
3,"spotify:track:4lVEVXrlQlXPdYWMGTwrFe","Mavins, Crayon, Ayra Starr, LADIPOE, Magixx, Boy Spyce","Overloading (OVERDOSE)","Mavin Records",3,3,5,"157445"
4,"spotify:track:4eZZofkV1OQ9GDqAgHqNpA","Kizz Daniel, Tekno","Buga (Lo Lo Lo)","FlyBoy INC / EMPIRE",1,4,7,"130694"
5,"spotify:track:6othjWxN6khdhiLu9GdOtj","Zinoleesky","Loving You","Marlian Music",4,5,5,"101165"
6,"spotify:track:4Gasn91fsCefnN8zM5GjA8","Pheelz, BNXN fka Buju","Finesse","Riidiimacool",1,7,16,"93243"
7,"spotify:track:1XUf5lpeTQbrohZWdx6Sbz","Davido, Sunday Service Choir","Stand Strong (feat. Sunday Service Choir)","Columbia",3,6,6,"83539"
8,"spotify:track:7d1aTQlsHMgWmkPywDi7h1","Asake, Olamide","Omo Ope (feat. Olamide)","Asake Music",2,8,18,"80961"
9,"spotify:track:2IBrgYf3Hjw16c6oNwkZ9M","Young Jonn, Davido","Dada (feat. Davido) [Remix]","Chocolate City Music",5,9,7,"78740"
10,"spotify:track:0ApflIvLLPwEZuS36WYlh6","Camidoh, Mayorkun, Darkoo, King Promise","Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]","Crux Global / MOVES Recordings",10,15,10,"75862"
11,"spotify:track:59nOXPmaKlBfGMDeOVGrIK","Future, Drake, Tems","WAIT FOR U (feat. Drake & Tems)","Epic/Freebandz",5,11,7,"74708"
12,"spotify:track:5FtWjKVBTMklN2yCP9UhF6","Asake, Burna Boy","Sungba (feat. Burna Boy) - Remix","YBNL 2022",2,10,12,"73332"
13,"spotify:track:1Cg51Jk6EoXBQ0KiwzWJfm","Fireboy DML","Playboy","YBNL Nation / EMPIRE",4,13,13,"73250"
14,"spotify:track:6lXOGwFzCglrPMtuysPIUo","Victony","kolomental","The Plug Entertainment",3,14,8,"68845"
15,"spotify:track:3AUW4YqukPw4YfBV1ZkkNe","Omah Lay","Woman","KeyQaad",7,12,4,"63329"
16,"spotify:track:3BnDvpeuGOj21Ir2aVEtQo","Rema","Calm Down","Mavin Records/Jonzing World",1,16,18,"61980"
17,"spotify:track:4wG7xubJwUdjvdVJvAV1d9","LADIPOE","Big Energy","Mavin Records",17,-1,1,"58207"
18,"spotify:track:1kd8fI9o55GNWvNOfzKcz5","Mr Eazi","Legalize","emPawa Africa Limited",18,-1,1,"55929"
19,"spotify:track:7pXNFEzqeZB8rIbcFtYTop","Black Sherif","Kwaku the Traveller","Blacko Management / EMPIRE",1,18,11,"54513"
20,"spotify:track:4G11wDzAKuCFqApL4g3ixC","Adekunle Gold, Davido","High","Afro Urban Records",10,25,18,"54343"
21,"spotify:track:6bZ9RWQGYr7XKQhxs9XT6a","BNXN fka Buju","Kilometer","T.Y.E. / EMPIRE",6,17,18,"53189"
22,"spotify:track:2jZ2MrAk8iNZk1dsI0Vr5z","Timaya, BNXN fka Buju","Cold Outside","DM Records Limited",5,21,18,"51461"
23,"spotify:track:2XuLnQELesgnkCGZbSJHO0","Lil Kesh, Zinoleesky","Don't Call Me (feat. Zinoleesky)","Ziiki Media",6,19,18,"51427"
24,"spotify:track:3baPniPXS0iEII8rDUJdYP","Lojay, Sarz, Chris Brown","Monalisa","Metallic Music/1789",12,39,4,"50811"
25,"spotify:track:6PojTTCNlz3qo3qBKuUyaO","Mayorkun, Victony","Holy Father","SM Entertainment West Africa Limited",5,23,18,"50769"
26,"spotify:track:0hW02S9ACVYANz1ica10jH","Magixx, Ayra Starr","Love Don't Cost A Dime (Re-Up)","Mavin Records",21,27,18,"47692"
27,"spotify:track:3OsZkVwyJhGLJ0KrdUx23o","Victony","Apollo","The Plug Entertainment",10,26,14,"47658"
28,"spotify:track:4lDghGd035xrzGp6Yec2j1","Skiibii, Davido","Baddest Boy - Remix","More Grace Entertainment / Dvpper Music",3,24,18,"47648"
29,"spotify:track:1mJFFeluclL38IwV264lm9","Asake","Peace Be Unto You (PBUY)","YBNL / EMPIRE",29,-1,1,"46644"
30,"spotify:track:6rDbIKxHWteL6TnhLtj634","T.I BLAZE, Olamide","Sometimes - Remix","Bailey Music World / Dvpper Music",8,28,18,"46079"
31,"spotify:track:1zwZ26A7OA5wTrA3FejCLL","Lojay, Sarz","Monalisa","Metallic Music/1789",6,22,18,"44340"
32,"spotify:track:3KO1322zrWwGa8TWQDBFvg","Asake","Sungba","YBNL 2022",3,29,18,"42701"
33,"spotify:track:5p8e2CxX9frZepKoc8E9Z4","T.I BLAZE","Try","Dvpper Music",33,34,17,"41932"
34,"spotify:track:2Ydj7wgn4ZrFFQsfFBTTYJ","Kizz Daniel","Eh God (Barnabas)","FlyBoy INC / EMPIRE",16,32,18,"39582"
35,"spotify:track:3ketN3dth18vSJ1T3HIztN","Burna Boy, WizKid","B. D'OR (feat. Wizkid)","Spaceship Entertainment Ltd.",13,33,18,"39169"
36,"spotify:track:3Q78lDuzWs50Gry1eQA7NX","Khaid","WITH YOU","NEVILLE RECORDS",16,35,18,"38965"
37,"spotify:track:2oOr7XZmuqYTdmCnC5qQsC","Ajebo Hustlers","Loyalty","The Plug Entertainment",11,37,18,"38567"
38,"spotify:track:6azpaZYOCLhhWr2amkJ1tQ","Ladé","Adulthood Anthem","Independent",38,62,2,"38407"
39,"spotify:track:6suEGaFoeHV8eNQau8itvT","Bella Shmurda","Fvck Off","Dangbana Republik",17,31,4,"38099"
40,"spotify:track:6teW0qt23aGnWhC0rSvtoz","Omah Lay","Understand","KeyQaad",20,30,18,"37781"
41,"spotify:track:3vTW0qXIitjhZW5kfTwBTv","Davido, Focalistic","Champion Sound","Columbia",19,43,18,"37244"
42,"spotify:track:03DxO8kGNrEGr1VjPSdQs2","Kizz Daniel","Lie","FlyBoy INC / EMPIRE",28,41,18,"36389"
43,"spotify:track:6lZ5p6VTbZ2ZvnsdTlLv7I","CKay","Emiliana","WM South Africa",21,48,18,"35954"
44,"spotify:track:3vXFxsPqMgw4SYP7fkWicM","melvitto, Wande Coal","Gentility","melvitto under exclusive license to Amuseio AB",12,44,9,"35435"
45,"spotify:track:2koM4vqlpUzeRbNkjsDBwF","Darkoo, Black Sherif","Always (feat. Black Sherif)","Atlantic Records UK",7,42,16,"35423"
46,"spotify:track:32vE1nuG8T9c8bhmZdRY6d","Post Malone, Roddy Ricch","Cooped Up (with Roddy Ricch)","Mercury Records/Republic Records",20,20,5,"35149"
47,"spotify:track:1iM0xHlmZPGZ8gdbPXtUgN","T.I BLAZE, Skiibii","Kilo","Dvpper Music",47,47,7,"35140"
48,"spotify:track:0z0hrjBtCLS8WnQXWtKOWP","Zinoleesky","Rocking","Marlian Music",10,46,17,"34841"
49,"spotify:track:7sSpKoxxtecQry1wxVmpIz","BNXN fka Buju","For Days","T.Y.E. / EMPIRE",12,49,11,"33978"
50,"spotify:track:77eZIuMTB9HrQ86L4ljqEX","Fave","Baby Riddim","TUMBLAR under exclusive license to emPawa Africa Limited",16,45,18,"33800"
51,"spotify:track:574QNMkQGedluLOgr275s9","Black Sherif, Burna Boy","Second Sermon - Remix","Blacko Mgt. / Spaceship Records",14,50,18,"33535"
52,"spotify:track:10SRMwb9EuVS1K9rYsBfHQ","BTS","Yet To Come","BIGHIT MUSIC",52,-1,1,"32750"
53,"spotify:track:5g3jjHX7Ao5J8EuoouVcjc","Dj Boat","Sip (Alcohol)","LMW Enteaiments",24,57,18,"32312"
54,"spotify:track:1MQaVZyTK4Fqm8OZy3wE6q","Falz","All Night","B.A.H.D Guys Entertainment Limited",54,-1,1,"31415"
55,"spotify:track:1OoPhcM78evXIxjmSzCnmf","Ayra Starr","Bloody Samaritan","Mavin Records",28,52,18,"31364"
56,"spotify:track:6jdTkoEaer7XNGSblczoSu","WizKid, BNXN fka Buju","Mood (feat. Buju)","Starboy/RCA Records",29,51,18,"31335"
57,"spotify:track:4cL6ewTK0FjZKtbajym8zp","Reminisce, BNXN fka Buju, D Smoke","Hustle","LESROSESROUGE ENTERTAINMENT",20,65,17,"28336"
58,"spotify:track:0kmVNMFtYuiN3vjyxsyZZS","Rema, AJ Tracey","FYN","Mavin Records/Jonzing World",6,56,14,"28279"
59,"spotify:track:4yaPPFIafaVaMRHZ5IHkbA","1da Banton, Kizz Daniel, Tiwa Savage","No Wahala - Remix","Squareball Ent. Limited",38,59,15,"28161"
60,"spotify:track:6nLdg1lpE3dHLmNam1aoA6","Ruger","Dior","Columbia",22,60,18,"27958"
61,"spotify:track:5e6Em24aptMFZaDCsvBJpu","Naira Marley, Zinoleesky","o'dun","My Type Of Music",30,55,6,"27454"
62,"spotify:track:7tzOeM0LbXJYMzjny2D45r","1da Banton","Summer Love","Squareball Ent. Limited",38,38,2,"27390"
63,"spotify:track:6tTeRmhhuwDl5Y4UiJdHuO","Omah Lay, Justin Bieber","Attention","KeyQaad",4,68,15,"27205"
64,"spotify:track:69IVi92WUl9tN6Xw8UfGkR","Falz","Another Me","B.A.H.D Guys Entertainment Limited",64,-1,1,"27114"
65,"spotify:track:50FX5UhHPAZQCL0rm0cZm6","Zinoleesky","Gone Far","Marlian Music",43,70,18,"26692"
66,"spotify:track:3k9Y1OBtIdPQNqbKILvJcD","Aṣa, WizKid","IDG","Platoon",4,63,16,"26390"
67,"spotify:track:10m1yYuud3w7bb43srjbWi","Ruger","Snapchat","Columbia",15,75,18,"26218"
68,"spotify:track:6SLhDU3r8FLmESRyWZypjT","Young Jonn","Dada","Chocolate City Music",17,71,13,"26079"
69,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",67,67,11,"26027"
70,"spotify:track:6GkFcz1YNlGwDVyGSgwp3k","ArrDee","Come & Go","Universal-Island Records Ltd.",21,61,15,"25851"
71,"spotify:track:5ibf0QRiCeCmlFlNb7otEP","Niphkeys, Zinoleesky","Blessings","Soundhub Ent. / Dvpper Music",32,83,18,"25619"
